/usr/bin/python3.5 /home/meoke/Repos/pang/src/pangenome.py mln -f files/mycoplasma8/mycoplasma_more.hal.maf -format maf -m all -data mycoplasma
Building multialignment from /home/meoke/Repos/pang/tests/files/mycoplasma8/mycoplasma_more.hal.maf...
block: 448, +: 13, -:24, MINUS,
block: 449, +: 9, -:24, MINUS,
block: 450, +: 13, -:24, MINUS,
block: 451, +: 13, -:28, MINUS,
block: 452, +: 9, -:28, MINUS,
block: 453, +: 13, -:28, MINUS,
block: 454, +: 1, -:4, MINUS,
block: 455, +: 13, -:28, MINUS,
block: 456, +: 13, -:24, MINUS,
block: 457, +: 13, -:28, MINUS,
block: 458, +: 13, -:20, MINUS,
block: 459, +: 13, -:28, MINUS,
block: 460, +: 13, -:24, MINUS,
block: 461, +: 13, -:28, MINUS,
block: 462, +: 1, -:4, MINUS,
block: 463, +: 13, -:28, MINUS,
block: 464, +: 5, -:4, ,
block: 465, +: 13, -:28, MINUS,
block: 466, +: 5, -:8, MINUS,
block: 467, +: 9, -:28, MINUS,
block: 468, +: 13, -:28, MINUS,
block: 469, +: 5, -:12, MINUS,
block: 470, +: 9, -:24, MINUS,
block: 471, +: 1, -:2, MINUS,
block: 472, +: 3, -:2, ,
block: 473, +: 13, -:28, MINUS,
block: 474, +: 1, -:2, MINUS,
block: 475, +: 1, -:2, MINUS,
block: 476, +: 13, -:28, MINUS,
block: 477, +: 5, -:0, ,
block: 478, +: 13, -:28, MINUS,
block: 479, +: 5, -:0, ,
block: 480, +: 13, -:28, MINUS,
block: 481, +: 1, -:4, MINUS,
block: 482, +: 9, -:30, MINUS,
block: 483, +: 13, -:30, MINUS,
block: 484, +: 13, -:31, MINUS,
block: 485, +: 13, -:32, MINUS,
block: 486, +: 13, -:20, MINUS,
block: 487, +: 13, -:32, MINUS,
block: 488, +: 5, -:0, ,
block: 489, +: 13, -:32, MINUS,
block: 490, +: 5, -:12, MINUS,
block: 491, +: 5, -:6, MINUS,
block: 492, +: 13, -:32, MINUS,
block: 493, +: 9, -:24, MINUS,
block: 494, +: 13, -:32, MINUS,
block: 495, +: 9, -:20, MINUS,
block: 496, +: 13, -:32, MINUS,
block: 497, +: 9, -:32, MINUS,
block: 498, +: 9, -:24, MINUS,
block: 499, +: 9, -:20, MINUS,
block: 500, +: 13, -:20, MINUS,
block: 501, +: 13, -:28, MINUS,
block: 502, +: 13, -:32, MINUS,
block: 503, +: 13, -:28, MINUS,
block: 504, +: 13, -:32, MINUS,
block: 505, +: 5, -:0, ,
block: 506, +: 13, -:32, MINUS,
block: 507, +: 1, -:8, MINUS,
block: 508, +: 13, -:32, MINUS,
block: 509, +: 11, -:32, MINUS,
block: 510, +: 13, -:32, MINUS,
block: 511, +: 9, -:30, MINUS,
block: 512, +: 9, -:32, MINUS,
block: 513, +: 9, -:24, MINUS,
block: 514, +: 13, -:32, MINUS,
block: 515, +: 13, -:24, MINUS,
block: 516, +: 9, -:24, MINUS,
block: 517, +: 13, -:32, MINUS,
block: 518, +: 1, -:8, MINUS,
block: 519, +: 1, -:4, MINUS,
block: 520, +: 1, -:8, MINUS,
block: 521, +: 13, -:24, MINUS,
block: 522, +: 13, -:32, MINUS,
block: 523, +: 13, -:24, MINUS,
block: 524, +: 13, -:32, MINUS,
block: 525, +: 1, -:4, MINUS,
block: 526, +: 13, -:32, MINUS,
block: 527, +: 9, -:32, MINUS,
block: 528, +: 13, -:32, MINUS,
block: 529, +: 5, -:0, ,
block: 530, +: 13, -:32, MINUS,
block: 531, +: 1, -:4, MINUS,
block: 532, +: 13, -:32, MINUS,
block: 533, +: 1, -:4, MINUS,
block: 534, +: 13, -:32, MINUS,
block: 535, +: 1, -:8, MINUS,
block: 536, +: 13, -:32, MINUS,
block: 537, +: 10, -:32, MINUS,
block: 538, +: 13, -:32, MINUS,
block: 539, +: 5, -:4, ,
block: 540, +: 9, -:28, MINUS,
block: 541, +: 13, -:32, MINUS,
block: 542, +: 9, -:20, MINUS,
block: 543, +: 9, -:8, ,
block: 544, +: 9, -:20, MINUS,
block: 545, +: 1, -:4, MINUS,
block: 546, +: 9, -:12, MINUS,
block: 547, +: 9, -:16, MINUS,
block: 548, +: 9, -:16, MINUS,
block: 549, +: 9, -:20, MINUS,
block: 550, +: 13, -:28, MINUS,
block: 551, +: 1, -:4, MINUS,
block: 552, +: 13, -:32, MINUS,
block: 553, +: 1, -:4, MINUS,
block: 554, +: 13, -:32, MINUS,
block: 555, +: 13, -:28, MINUS,
block: 556, +: 13, -:32, MINUS,
block: 557, +: 1, -:8, MINUS,
block: 558, +: 13, -:28, MINUS,
block: 559, +: 13, -:32, MINUS,
block: 560, +: 5, -:20, MINUS,
block: 561, +: 5, -:4, ,
block: 562, +: 13, -:32, MINUS,
block: 563, +: 13, -:28, MINUS,
block: 564, +: 13, -:32, MINUS,
block: 565, +: 9, -:32, MINUS,
block: 566, +: 13, -:32, MINUS,
block: 567, +: 13, -:28, MINUS,
block: 568, +: 13, -:32, MINUS,
block: 569, +: 5, -:20, MINUS,
block: 570, +: 9, -:32, MINUS,
block: 571, +: 1, -:4, MINUS,
block: 572, +: 9, -:32, MINUS,
block: 573, +: 13, -:32, MINUS,
block: 574, +: 13, -:28, MINUS,
block: 575, +: 9, -:16, MINUS,
block: 576, +: 13, -:32, MINUS,
block: 577, +: 2, -:6, MINUS,
block: 578, +: 2, -:6, MINUS,
block: 579, +: 2, -:6, MINUS,
block: 580, +: 2, -:6, MINUS,
block: 581, +: 2, -:6, MINUS,
block: 582, +: 2, -:6, MINUS,
block: 583, +: 2, -:6, MINUS,
block: 584, +: 2, -:6, MINUS,
block: 585, +: 2, -:6, MINUS,
block: 586, +: 2, -:6, MINUS,
block: 587, +: 2, -:6, MINUS,
block: 588, +: 2, -:6, MINUS,
block: 589, +: 2, -:6, MINUS,
block: 590, +: 2, -:6, MINUS,
block: 591, +: 2, -:6, MINUS,
block: 592, +: 2, -:6, MINUS,
block: 593, +: 2, -:6, MINUS,
block: 594, +: 2, -:6, MINUS,
block: 595, +: 3, -:6, MINUS,
block: 596, +: 2, -:6, MINUS,
block: 597, +: 3, -:6, MINUS,
block: 598, +: 2, -:6, MINUS,
block: 599, +: 2, -:6, MINUS,
block: 600, +: 2, -:6, MINUS,
block: 601, +: 2, -:6, MINUS,
block: 602, +: 3, -:6, MINUS,
block: 603, +: 3, -:6, MINUS,
block: 604, +: 2, -:6, MINUS,
block: 605, +: 3, -:6, MINUS,
block: 606, +: 2, -:6, MINUS,
block: 607, +: 2, -:6, MINUS,
block: 608, +: 2, -:6, MINUS,
block: 609, +: 2, -:6, MINUS,
block: 610, +: 2, -:6, MINUS,
block: 611, +: 2, -:6, MINUS,
block: 612, +: 2, -:6, MINUS,
block: 613, +: 2, -:6, MINUS,
block: 614, +: 2, -:6, MINUS,
block: 615, +: 2, -:6, MINUS,
block: 616, +: 3, -:6, MINUS,
block: 617, +: 2, -:6, MINUS,
block: 618, +: 2, -:6, MINUS,
block: 619, +: 2, -:6, MINUS,
block: 620, +: 3, -:6, MINUS,
block: 621, +: 2, -:6, MINUS,
block: 622, +: 3, -:6, MINUS,
block: 623, +: 2, -:6, MINUS,
block: 624, +: 2, -:6, MINUS,
block: 625, +: 2, -:6, MINUS,
block: 626, +: 2, -:6, MINUS,
block: 627, +: 2, -:6, MINUS,
block: 628, +: 3, -:6, MINUS,
block: 629, +: 3, -:6, MINUS,
block: 630, +: 3, -:6, MINUS,
block: 631, +: 2, -:6, MINUS,
block: 632, +: 2, -:6, MINUS,
block: 633, +: 2, -:6, MINUS,
block: 634, +: 2, -:6, MINUS,
block: 635, +: 2, -:6, MINUS,
block: 636, +: 2, -:6, MINUS,
block: 637, +: 2, -:6, MINUS,
block: 638, +: 2, -:6, MINUS,
block: 639, +: 2, -:6, MINUS,
block: 640, +: 3, -:6, MINUS,
block: 641, +: 3, -:6, MINUS,
block: 642, +: 3, -:6, MINUS,
block: 643, +: 2, -:6, MINUS,
block: 644, +: 3, -:6, MINUS,
block: 645, +: 3, -:6, MINUS,
block: 646, +: 3, -:6, MINUS,
block: 647, +: 3, -:12, MINUS,
block: 648, +: 2, -:6, MINUS,
block: 649, +: 2, -:6, MINUS,
block: 650, +: 2, -:6, MINUS,
block: 651, +: 2, -:6, MINUS,
block: 652, +: 2, -:6, MINUS,
block: 653, +: 2, -:6, MINUS,
block: 654, +: 2, -:6, MINUS,
block: 655, +: 2, -:6, MINUS,
block: 656, +: 2, -:6, MINUS,
block: 657, +: 2, -:6, MINUS,
block: 658, +: 2, -:6, MINUS,
block: 659, +: 2, -:6, MINUS,
block: 660, +: 2, -:6, MINUS,
block: 661, +: 2, -:6, MINUS,
block: 662, +: 2, -:6, MINUS,
block: 663, +: 2, -:6, MINUS,
block: 664, +: 2, -:12, MINUS,
block: 665, +: 3, -:12, MINUS,
block: 666, +: 2, -:6, MINUS,
block: 667, +: 2, -:6, MINUS,
block: 668, +: 2, -:6, MINUS,
block: 669, +: 2, -:6, MINUS,
block: 670, +: 2, -:6, MINUS,
block: 671, +: 2, -:6, MINUS,
block: 672, +: 2, -:6, MINUS,
block: 673, +: 2, -:6, MINUS,
block: 674, +: 3, -:6, MINUS,
block: 675, +: 2, -:6, MINUS,
block: 676, +: 3, -:12, MINUS,
block: 677, +: 2, -:6, MINUS,
block: 678, +: 3, -:12, MINUS,
block: 679, +: 1, -:6, MINUS,
